2017	01	2	0	13	6	300	-36.0365	51.9288	5.7	10
2017	01	2	13	13	48	710	-4.895	-76.3675	5.9	106
2017	01	2	13	14	2	830	-23.2513	179.2383	6.3	551.62
2017	01	3	9	9	2	80	24.0151	92.0177	5.7	32
2017	01	3	21	19	7	540	-43.3527	-74.5017	5.5	10.26
2017	01	3	21	52	30	670	-19.3733	176.0518	6.9	12
2017	01	3	21	55	37	520	-19.3977	175.9532	5.7	10
2017	01	3	22	40	12	570	-19.1207	176.1875	6	10
2017	01	3	23	34	13	70	-18.9749	176.2872	5.5	19.36
2017	01	4	1	6	10	880	-17.8694	167.1235	5.6	22.1
2017	01	4	20	3	52	560	-18.7942	176.2567	5.7	7
2017	01	6	6	30	35	500	-22.3176	-67.795	5.8	172
2017	01	8	8	52	7	900	-6.2269	147.4769	5.9	61
2017	01	8	14	20	6	290	-54.327	-135.8585	5.6	10
2017	01	8	23	47	14	420	74.3859	-92.4156	6	31
2017	01	10	6	13	48	140	4.4782	122.6171	7.3	627.17
2017	01	10	10	1	33	140	14.6898	144.34	5.7	10
2017	01	10	15	27	14	780	-10.1132	161.0271	6.3	26
2017	01	11	21	58	18	410	-22.821	-69.8033	5.8	72
2017	01	11	22	6	58	670	-20.16	46.6469	5.5	7.26
2017	01	12	13	29	6	300	-5.2669	102.7235	5.5	22.95
2017	01	13	16	39	25	240	0.0303	125.077	5.7	42
2017	01	14	6	11	40	920	-18.6205	176.2365	5.9	3.92
2017	01	14	10	34	50	390	-15.1123	-173.2682	5.5	5.24
2017	01	14	18	25	43	50	-18.6545	176.0894	5.7	4.39
2017	01	16	1	16	38	10	-13.642	166.5223	5.8	14.03
2017	01	16	12	42	10	680	3.3168	98.4696	5.6	6
2017	01	16	20	47	39	210	-13.554	166.4169	5.9	14.89
2017	01	17	9	8	2	30	19.8529	-76.594	5.8	11
2017	01	18	10	14	10	980	42.6012	13.2268	5.7	7
2017	01	18	10	25	25	490	42.5855	13.1904	5.6	10
2017	01	19	23	4	21	150	-10.3506	161.3355	6.5	36
2017	01	21	5	16	31	800	2.8266	128.2084	5.6	46.85
2017	01	22	4	30	22	960	-6.2464	155.1718	7.9	135
2017	01	22	4	44	52	760	-6.7363	153.6022	5.6	10
